dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label
body_fat,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),0.014577820897102356,0.7963566780090332,True,baseline,knn_x,kNN(X)
body_fat,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.013874788768589497,0.7579514384269714,True,baseline,mlkr_knn,MLKR+kNN
body_fat,kfold,4,4,mlp,MLP,baseline,MLP,0.011953430250287056,0.6529920697212219,True,baseline,mlp,MLP
body_fat,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),0.01212260127067566,0.6309561133384705,True,baseline,knn_x,kNN(X)
body_fat,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.011146832257509232,0.5801689624786377,True,baseline,mlkr_knn,MLKR+kNN
body_fat,kfold,5,5,mlp,MLP,baseline,MLP,0.010488690808415413,0.545914351940155,True,baseline,mlp,MLP
airfoil,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),2.5672967433929443,0.3746592700481415,True,baseline,knn_x,kNN(X)
airfoil,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.828321933746338,0.41275203227996826,True,baseline,mlkr_knn,MLKR+kNN
airfoil,kfold,1,1,mlp,MLP,baseline,MLP,2.2425730228424072,0.32727062702178955,True,baseline,mlp,MLP
airfoil,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),2.4713964462280273,0.3539036214351654,True,baseline,knn_x,kNN(X)
airfoil,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.513838529586792,0.35998132824897766,True,baseline,mlkr_knn,MLKR+kNN
airfoil,kfold,2,2,mlp,MLP,baseline,MLP,2.3738670349121094,0.3399374485015869,True,baseline,mlp,MLP
airfoil,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),2.366001844406128,0.34557804465293884,True,baseline,knn_x,kNN(X)
airfoil,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.4470129013061523,0.3574104607105255,True,baseline,mlkr_knn,MLKR+kNN
airfoil,kfold,3,3,mlp,MLP,baseline,MLP,2.075892448425293,0.3032047152519226,True,baseline,mlp,MLP
airfoil,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.604151964187622,0.37941789627075195,True,baseline,knn_x,kNN(X)
airfoil,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.983769655227661,0.43472713232040405,True,baseline,mlkr_knn,MLKR+kNN
airfoil,kfold,4,4,mlp,MLP,baseline,MLP,2.49161958694458,0.36302220821380615,True,baseline,mlp,MLP
airfoil,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),3.2162952423095703,0.4629361927509308,True,baseline,knn_x,kNN(X)
airfoil,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.9125454425811768,0.419216126203537,True,baseline,mlkr_knn,MLKR+kNN
airfoil,kfold,5,5,mlp,MLP,baseline,MLP,2.633540391921997,0.3790576159954071,True,baseline,mlp,MLP
car,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),10646.2392578125,0.1783638447523117,True,baseline,knn_x,kNN(X)
car,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,15210.9736328125,0.25484001636505127,True,baseline,mlkr_knn,MLKR+kNN
car,kfold,1,1,mlp,MLP,baseline,MLP,21935.15234375,0.3674948811531067,True,baseline,mlp,MLP
car,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),10561.611328125,0.1741327941417694,True,baseline,knn_x,kNN(X)
car,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,12577.2841796875,0.20736588537693024,True,baseline,mlkr_knn,MLKR+kNN
car,kfold,2,2,mlp,MLP,baseline,MLP,14887.8720703125,0.24546131491661072,True,baseline,mlp,MLP
car,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),14200.4228515625,0.23802867531776428,True,baseline,knn_x,kNN(X)
car,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,16664.48046875,0.27933141589164734,True,baseline,mlkr_knn,MLKR+kNN
car,kfold,3,3,mlp,MLP,baseline,MLP,17991.947265625,0.30158254504203796,True,baseline,mlp,MLP
car,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),14016.046875,0.2422783225774765,True,baseline,knn_x,kNN(X)
car,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,17154.99609375,0.29653751850128174,True,baseline,mlkr_knn,MLKR+kNN
car,kfold,4,4,mlp,MLP,baseline,MLP,19244.4609375,0.33265551924705505,True,baseline,mlp,MLP
car,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),12403.712890625,0.20305800437927246,True,baseline,knn_x,kNN(X)
car,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,13566.9736328125,0.22210146486759186,True,baseline,mlkr_knn,MLKR+kNN
car,kfold,5,5,mlp,MLP,baseline,MLP,16129.0400390625,0.2640444040298462,True,baseline,mlp,MLP
student_performance,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),2.1452817916870117,0.6605961322784424,True,baseline,knn_x,kNN(X)
student_performance,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.365053415298462,0.4203405976295471,True,baseline,mlkr_knn,MLKR+kNN
student_performance,kfold,1,1,mlp,MLP,baseline,MLP,1.2381826639175415,0.3812732696533203,True,baseline,mlp,MLP
student_performance,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),2.195399045944214,0.6840726733207703,True,baseline,knn_x,kNN(X)
student_performance,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.6539990901947021,0.5153758525848389,True,baseline,mlkr_knn,MLKR+kNN
student_performance,kfold,2,2,mlp,MLP,baseline,MLP,1.408075213432312,0.4387475252151489,True,baseline,mlp,MLP
student_performance,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),2.89959979057312,0.9450111389160156,True,baseline,knn_x,kNN(X)
student_performance,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.1079978942871094,0.6870194673538208,True,baseline,mlkr_knn,MLKR+kNN
student_performance,kfold,3,3,mlp,MLP,baseline,MLP,1.8700741529464722,0.6094775199890137,True,baseline,mlp,MLP
student_performance,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.110690116882324,0.650148868560791,True,baseline,knn_x,kNN(X)
student_performance,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.3287500143051147,0.4092904031276703,True,baseline,mlkr_knn,MLKR+kNN
student_performance,kfold,4,4,mlp,MLP,baseline,MLP,1.160366415977478,0.3574238121509552,True,baseline,mlp,MLP
student_performance,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),1.7416247129440308,0.5163980722427368,True,baseline,knn_x,kNN(X)
student_performance,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.0744348764419556,0.31857380270957947,True,baseline,mlkr_knn,MLKR+kNN
student_performance,kfold,5,5,mlp,MLP,baseline,MLP,1.1111239194869995,0.3294523060321808,True,baseline,mlp,MLP
yacht,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),6.837212085723877,0.43535804748535156,True,baseline,knn_x,kNN(X)
yacht,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.2677009105682373,0.1443953961133957,True,baseline,mlkr_knn,MLKR+kNN
yacht,kfold,1,1,mlp,MLP,baseline,MLP,2.435014009475708,0.15504899621009827,True,baseline,mlp,MLP
yacht,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),11.291141510009766,0.7978522181510925,True,baseline,knn_x,kNN(X)
yacht,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,4.12679386138916,0.291606605052948,True,baseline,mlkr_knn,MLKR+kNN
yacht,kfold,2,2,mlp,MLP,baseline,MLP,3.8074231147766113,0.2690393328666687,True,baseline,mlp,MLP
yacht,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),9.84422492980957,0.66748046875,True,baseline,knn_x,kNN(X)
yacht,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,3.5535054206848145,0.2409428358078003,True,baseline,mlkr_knn,MLKR+kNN
yacht,kfold,3,3,mlp,MLP,baseline,MLP,3.4160215854644775,0.23162084817886353,True,baseline,mlp,MLP
yacht,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),8.474771499633789,0.553253710269928,True,baseline,knn_x,kNN(X)
yacht,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.7754645347595215,0.18118910491466522,True,baseline,mlkr_knn,MLKR+kNN
yacht,kfold,4,4,mlp,MLP,baseline,MLP,3.281651258468628,0.21423420310020447,True,baseline,mlp,MLP
yacht,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),6.3050360679626465,0.399625688791275,True,baseline,knn_x,kNN(X)
