dataset,family_id,family_label,result_type,result_label,num_folds,rmse_raw_mean,rmse_raw_std,rmse_raw_table,mode,source,entry_id,entry_label
califonia_housing,knn_x,kNN(X),baseline,kNN(X),5,0.6385262489318848,0.022026753663416655,0.6385 +/- 0.0220,kfold,baseline,knn_x,kNN(X)
califonia_housing,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,0.45984066724777223,0.015531135686448294,0.4598 +/- 0.0155,kfold,baseline,mlkr_knn,MLKR+kNN
califonia_housing,mlp,MLP,baseline,MLP,5,0.5072384178638458,0.01151145427515245,0.5072 +/- 0.0115,kfold,baseline,mlp,MLP
diabets,knn_x,kNN(X),baseline,kNN(X),5,59.12945404052734,1.7646153465896812,59.1295 +/- 1.7646,kfold,baseline,knn_x,kNN(X)
diabets,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,58.31910247802735,3.613176374164301,58.3191 +/- 3.6132,kfold,baseline,mlkr_knn,MLKR+kNN
diabets,mlp,MLP,baseline,MLP,5,54.83537979125977,1.949397425528722,54.8354 +/- 1.9494,kfold,baseline,mlp,MLP
abalone,knn_x,kNN(X),baseline,kNN(X),5,2.294126510620117,0.10997094981714495,2.2941 +/- 0.1100,kfold,baseline,knn_x,kNN(X)
abalone,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,2.1139414072036744,0.11954375316397542,2.1139 +/- 0.1195,kfold,baseline,mlkr_knn,MLKR+kNN
abalone,mlp,MLP,baseline,MLP,5,2.0622469663619993,0.1173721909402728,2.0622 +/- 0.1174,kfold,baseline,mlp,MLP
body_fat,knn_x,kNN(X),baseline,kNN(X),5,0.01282053105533123,0.0017367032093341852,0.0128 +/- 0.0017,kfold,baseline,knn_x,kNN(X)
body_fat,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,0.012102720886468887,0.0021407838574595724,0.0121 +/- 0.0021,kfold,baseline,mlkr_knn,MLKR+kNN
body_fat,mlp,MLP,baseline,MLP,5,0.010629498213529587,0.0011548128544225645,0.0106 +/- 0.0012,kfold,baseline,mlp,MLP
airfoil,knn_x,kNN(X),baseline,kNN(X),5,2.583567428588867,0.08341848063254077,2.5836 +/- 0.0834,kfold,baseline,knn_x,kNN(X)
airfoil,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,2.667283535003662,0.11305301058135908,2.6673 +/- 0.1131,kfold,baseline,mlkr_knn,MLKR+kNN
airfoil,mlp,MLP,baseline,MLP,5,2.395378351211548,0.16964498799529615,2.3954 +/- 0.1696,kfold,baseline,mlp,MLP
car,knn_x,kNN(X),baseline,kNN(X),5,12181.7783203125,1790.418781926784,12181.7783 +/- 1790.4188,kfold,baseline,knn_x,kNN(X)
car,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,14907.8609375,2317.274543822117,14907.8609 +/- 2317.2745,kfold,baseline,mlkr_knn,MLKR+kNN
car,mlp,MLP,baseline,MLP,5,17322.7525390625,2836.3867985096076,17322.7525 +/- 2836.3868,kfold,baseline,mlp,MLP
student_performance,knn_x,kNN(X),baseline,kNN(X),5,2.2937545776367188,0.30315474448326246,2.2938 +/- 0.3032,kfold,baseline,knn_x,kNN(X)
student_performance,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,1.5166501998901367,0.31681101453795835,1.5167 +/- 0.3168,kfold,baseline,mlkr_knn,MLKR+kNN
student_performance,mlp,MLP,baseline,MLP,5,1.4534546375274657,0.23442988076469484,1.4535 +/- 0.2344,kfold,baseline,mlp,MLP
yacht,knn_x,kNN(X),baseline,kNN(X),5,8.358801174163819,1.426849379694509,8.3588 +/- 1.4268,kfold,baseline,knn_x,kNN(X)
yacht,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,2.339011478424072,0.3895926052391759,2.3390 +/- 0.3896,kfold,baseline,mlkr_knn,MLKR+kNN
yacht,mlp,MLP,baseline,MLP,5,2.999384546279907,0.7687930592323166,2.9994 +/- 0.7688,kfold,baseline,mlp,MLP
energy_efficiency,knn_x,kNN(X),baseline,kNN(X),5,2.196725106239319,0.2197307161178763,2.1967 +/- 0.2197,kfold,baseline,knn_x,kNN(X)
energy_efficiency,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,1.2649744629859925,0.6170660375913152,1.2650 +/- 0.6171,kfold,baseline,mlkr_knn,MLKR+kNN
energy_efficiency,mlp,MLP,baseline,MLP,5,2.007353925704956,0.07768807148450778,2.0074 +/- 0.0777,kfold,baseline,mlp,MLP
bike_sharing,knn_x,kNN(X),baseline,kNN(X),5,103.88493041992187,3.9482940228874903,103.8849 +/- 3.9483,kfold,baseline,knn_x,kNN(X)
bike_sharing,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,49.650709533691405,2.064918522204176,49.6507 +/- 2.0649,kfold,baseline,mlkr_knn,MLKR+kNN
bike_sharing,mlp,MLP,baseline,MLP,5,43.738101196289065,2.2999701129993135,43.7381 +/- 2.3000,kfold,baseline,mlp,MLP
wine,knn_x,kNN(X),baseline,kNN(X),5,0.635937511920929,0.022477992664113305,0.6359 +/- 0.0225,kfold,baseline,knn_x,kNN(X)
wine,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,0.6124034762382508,0.02172064828530897,0.6124 +/- 0.0217,kfold,baseline,mlkr_knn,MLKR+kNN
