dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label,resume_source
airfoil,kfold,3,3,mlp,MLP,baseline,MLP,2.463472366333008,0.35818323493003845,True,baseline,mlp,MLP,
airfoil,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.44465970993042,0.35910528898239136,True,baseline,knn_x,kNN(X),
airfoil,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.664552688598633,0.3914062976837158,True,baseline,mlkr_knn,MLKR+kNN,
airfoil,kfold,4,4,mlp,MLP,baseline,MLP,2.6573774814605713,0.3903522789478302,True,baseline,mlp,MLP,
airfoil,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),2.669605016708374,0.38441529870033264,True,baseline,knn_x,kNN(X),
airfoil,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.73875093460083,0.3943721055984497,True,baseline,mlkr_knn,MLKR+kNN,
airfoil,kfold,5,5,mlp,MLP,baseline,MLP,2.2785797119140625,0.3281087279319763,True,baseline,mlp,MLP,
car,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),12979.2490234375,0.2275409996509552,True,baseline,knn_x,kNN(X),
car,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,17611.810546875,0.30875512957572937,True,baseline,mlkr_knn,MLKR+kNN,
car,kfold,1,1,mlp,MLP,baseline,MLP,21297.642578125,0.3733719289302826,True,baseline,mlp,MLP,
car,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),9430.3115234375,0.15390007197856903,True,baseline,knn_x,kNN(X),
car,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,12365.6953125,0.2018047422170639,True,baseline,mlkr_knn,MLKR+kNN,
car,kfold,2,2,mlp,MLP,baseline,MLP,13550.3857421875,0.22113853693008423,True,baseline,mlp,MLP,
car,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),12206.0888671875,0.20079390704631805,True,baseline,knn_x,kNN(X),
car,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,14675.37890625,0.24141447246074677,True,baseline,mlkr_knn,MLKR+kNN,
car,kfold,3,3,mlp,MLP,baseline,MLP,16492.845703125,0.27131232619285583,True,baseline,mlp,MLP,
car,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),14319.95703125,0.24164023995399475,True,baseline,knn_x,kNN(X),
car,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,16898.78515625,0.28515636920928955,True,baseline,mlkr_knn,MLKR+kNN,
car,kfold,4,4,mlp,MLP,baseline,MLP,18431.525390625,0.3110203742980957,True,baseline,mlp,MLP,
car,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),11973.28515625,0.19785866141319275,True,baseline,knn_x,kNN(X),
car,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,12987.634765625,0.21462079882621765,True,baseline,mlkr_knn,MLKR+kNN,
car,kfold,5,5,mlp,MLP,baseline,MLP,16841.36328125,0.2783036530017853,True,baseline,mlp,MLP,
student_performance,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),2.111358642578125,0.6449599266052246,True,baseline,knn_x,kNN(X),
student_performance,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.499167799949646,0.4579530358314514,True,baseline,mlkr_knn,MLKR+kNN,
student_performance,kfold,1,1,mlp,MLP,baseline,MLP,1.4993535280227661,0.45800983905792236,True,baseline,mlp,MLP,
student_performance,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),2.0372314453125,0.6204557418823242,True,baseline,knn_x,kNN(X),
student_performance,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.3401902914047241,0.4081661105155945,True,baseline,mlkr_knn,MLKR+kNN,
student_performance,kfold,2,2,mlp,MLP,baseline,MLP,1.274450659751892,0.3881445527076721,True,baseline,mlp,MLP,
student_performance,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),2.7114293575286865,0.8785997033119202,True,baseline,knn_x,kNN(X),
student_performance,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.9804054498672485,0.6417219638824463,True,baseline,mlkr_knn,MLKR+kNN,
student_performance,kfold,3,3,mlp,MLP,baseline,MLP,1.8234540224075317,0.5908640623092651,True,baseline,mlp,MLP,
student_performance,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.5210111141204834,0.7927226424217224,True,baseline,knn_x,kNN(X),
student_performance,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.6252233982086182,0.511045515537262,True,baseline,mlkr_knn,MLKR+kNN,
student_performance,kfold,4,4,mlp,MLP,baseline,MLP,1.4367948770523071,0.4517948031425476,True,baseline,mlp,MLP,
student_performance,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),2.087742328643799,0.6282265782356262,True,baseline,knn_x,kNN(X),
student_performance,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.1382640600204468,0.342517226934433,True,baseline,mlkr_knn,MLKR+kNN,
student_performance,kfold,5,5,mlp,MLP,baseline,MLP,1.233220100402832,0.3710905909538269,True,baseline,mlp,MLP,
yacht,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),10.524454116821289,0.7310127019882202,True,baseline,knn_x,kNN(X),
yacht,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.671376943588257,0.1855498105287552,True,baseline,mlkr_knn,MLKR+kNN,
yacht,kfold,1,1,mlp,MLP,baseline,MLP,4.026566982269287,0.2796792685985565,True,baseline,mlp,MLP,
yacht,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),7.973047256469727,0.516494870185852,True,baseline,knn_x,kNN(X),
yacht,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.9845483303070068,0.12855927646160126,True,baseline,mlkr_knn,MLKR+kNN,
yacht,kfold,2,2,mlp,MLP,baseline,MLP,2.489394426345825,0.16126322746276855,True,baseline,mlp,MLP,
yacht,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),7.2158660888671875,0.47005775570869446,True,baseline,knn_x,kNN(X),
yacht,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.8681437969207764,0.12169510126113892,True,baseline,mlkr_knn,MLKR+kNN,
yacht,kfold,3,3,mlp,MLP,baseline,MLP,2.831521511077881,0.18445169925689697,True,baseline,mlp,MLP,
yacht,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),8.987835884094238,0.5951015949249268,True,baseline,knn_x,kNN(X),
yacht,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.467606782913208,0.16338494420051575,True,baseline,mlkr_knn,MLKR+kNN,
yacht,kfold,4,4,mlp,MLP,baseline,MLP,3.5174622535705566,0.23289786279201508,True,baseline,mlp,MLP,
yacht,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),7.09280252456665,0.45778366923332214,True,baseline,knn_x,kNN(X),
yacht,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.7033815383911133,0.17448170483112335,True,baseline,mlkr_knn,MLKR+kNN,
yacht,kfold,5,5,mlp,MLP,baseline,MLP,2.1319775581359863,0.13760212063789368,True,baseline,mlp,MLP,
energy_efficiency,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),1.9221094846725464,0.19105909764766693,True,baseline,knn_x,kNN(X),
energy_efficiency,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6946096420288086,0.06904472410678864,True,baseline,mlkr_knn,MLKR+kNN,
energy_efficiency,kfold,1,1,mlp,MLP,baseline,MLP,2.055391311645508,0.2043074369430542,True,baseline,mlp,MLP,
energy_efficiency,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),2.4580161571502686,0.24408377707004547,True,baseline,knn_x,kNN(X),
energy_efficiency,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.9741239547729492,0.09673161804676056,True,baseline,mlkr_knn,MLKR+kNN,
energy_efficiency,kfold,2,2,mlp,MLP,baseline,MLP,2.0863654613494873,0.20717847347259521,True,baseline,mlp,MLP,
energy_efficiency,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),2.2222001552581787,0.21896690130233765,True,baseline,knn_x,kNN(X),
energy_efficiency,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.1289541721343994,0.2097788006067276,True,baseline,mlkr_knn,MLKR+kNN,
energy_efficiency,kfold,3,3,mlp,MLP,baseline,MLP,1.8829046487808228,0.1855340451002121,True,baseline,mlp,MLP,
energy_efficiency,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.346721649169922,0.23496389389038086,True,baseline,knn_x,kNN(X),
energy_efficiency,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.8353942036628723,0.08364325761795044,True,baseline,mlkr_knn,MLKR+kNN,
energy_efficiency,kfold,4,4,mlp,MLP,baseline,MLP,2.013136863708496,0.20156392455101013,True,baseline,mlp,MLP,
